species,island/mainland,Group,Clade,Nmorpho,SVL,Tail,Head_length,Head_width,Head_depth,Lower_jaw_length,Outlever,Snout,Open,Close,Interlimb,Body_height,Body_width,Femur,Tibia,Tarsus,Ltoe,Hind_limb_length,Humerus,Radius,Carpus,Longest_toe,Forelimb_length
acutus,I,I2,Anolis,3,55.58,72.66,17.86,9.7,7.76,18.72,16.83,13.76,1.89,3.07,23.28,10.49,12.06,13.67,14.31,8.58,9.17,45.73,10.55,9.11,3.11,4.44,27.21
aeneus,I,I1,Dactyloa,6,61.42,105.53,17.37,10.01,7.66,18.34,16.58,13.41,1.75,3.17,26.99,9.59,9.95,13.46,12.84,7.81,8.36,42.46,11.55,9.24,3.09,4,27.87
aequatorialis,M,M1,Dactyloa,4,80.39,221.18,20.87,11.16,9.58,20.76,19.23,15.8,1.53,3.43,39.73,13.32,13.54,21.65,21.74,14.63,19.74,77.76,16.94,14.07,4.92,11.26,47.18
agassizi,I,NA,Dactyloa,18,102.38,161.02,25.38,14.92,12.58,27.36,25.15,20.25,2.21,4.89,48.79,17.26,18.9,26.84,24.24,15.53,14.31,80.9,18.84,18.14,7.2,8.47,52.65
altae,M,M2b,Norops,2,45.74,78.78,13.37,7.16,5.75,13.01,11.98,10.05,1.03,1.93,21.93,5.62,6.58,9.95,9.56,6.27,6.39,32.17,7.66,5.5,2.03,3.82,19
alutaceus,I,I2,Anolis,3,34.2,90.95,11.22,4.85,4.31,10.92,9.97,8.41,0.96,1.55,15.49,4.42,3.76,8.92,8.81,5.25,5.52,28.49,5.4,4.01,1.79,2.44,13.64
alvarezdeltoroi,M,M2a,Norops,7,67.62,125.2,18.26,9.87,7.56,18.7,17.26,14.63,1.44,2.63,34.37,9.58,9.23,20.8,20.51,11.39,13.2,65.89,14.15,12.57,3.61,7.87,38.19
anchicayae,M,M1,Dactyloa,3,53.03,117.25,14.39,7.3,5.62,14.6,13.49,11.03,1.11,2.46,25.06,5.3,6.37,12.03,12.39,8.01,8.67,41.1,10.12,7.48,2.45,4.03,24.09
angusticeps,I,I2,Anolis,42,45.99,54.23,14.25,6.6,4.87,14.8,13.54,11.36,1.26,2.18,NA,NA,NA,8.13,7.32,3.87,5.24,24.52,6.05,4.93,1.56,3.48,16.01
anisolepis,M,NA,Norops,3,39.31,87.38,12.86,7.78,6.02,12.81,11.56,9.5,1.26,2.05,17.31,6.44,6.6,8.94,8.82,5.67,5.57,29.01,7.12,5.19,2.15,3.06,17.52
annectens,M,M2a,Norops,2,65.84,129.91,17.58,10.23,8.2,17.96,16.31,13.23,1.65,3.08,32.4,10.55,11.74,16.16,16.5,10.48,11.1,54.22,13.07,11.38,3.96,6.66,35.06
antonii,M,M2b,Norops,3,45.26,95.89,12.96,6.7,5.66,12.93,11.55,9.63,1.38,1.92,20.06,5.47,6.92,11.66,11.22,6.65,6.66,36.18,7.7,6.12,2.29,3.38,19.48
apletophallus,M,M2b,Norops,40,45.39,86.6,12.58,6.67,5.19,12.55,11.65,9.89,0.9,1.76,22.06,5.98,6.14,11.22,11.95,7.08,8.74,38.98,8.07,6.86,2.37,4.65,21.95
apollinaris,M,M1,Dactyloa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
aquaticus,M,M2a,Norops,10,59.96,89.32,15.52,8.4,6.92,15.67,14.53,12.01,1.13,2.53,28.96,9.43,9.6,14.7,15.77,9.1,11.2,50.78,10.86,10.22,3.2,6.67,30.94
argenteolus,I,I2,Anolis,3,50.15,99.47,14.57,7.6,5.71,15.02,13.48,11.21,1.54,2.27,22.05,5.28,6.67,13.69,13.23,8.28,7.98,43.18,10.28,8.92,3.77,3.92,26.89
argillaceus,I,I2,Anolis,3,44.38,80.62,13.58,7.98,6.26,13.93,12.58,10.52,1.34,2.06,19.37,6.63,6.27,8.61,8.79,5.87,6.46,29.73,8.06,6.62,2.56,3.62,20.86
attenuatus,M,NA,Norops,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
auratus,M,M2a,Norops,23,43.52,98.18,11.79,5.93,4.82,11.63,10.67,8.85,0.96,1.82,21.25,5.96,5.32,9.18,10.42,6.61,8.29,34.5,7.76,6.23,2.04,4.19,20.22
bahorucoensis,I,I2,Anolis,24,40.37,88.71,13.99,6.53,5.4,14.46,13.32,11.79,1.14,1.53,NA,NA,NA,10.61,10.87,5.61,7.58,34.67,5.82,5.39,1.8,3.89,16.9
baracoae,I,I2,Anolis,9,121.44,NA,38.43,20.54,16.42,37.46,35.9,32.11,1.56,4.01,NA,NA,NA,28.77,26.53,9.96,20.23,85.48,18.76,19.2,4.22,12.65,54.82
barahonae,I,I2,Anolis,25,159.64,216.18,47.11,27.3,24.39,48.67,45.3,38.65,3.37,6.65,NA,NA,NA,37.13,34.65,18.88,23.96,114.63,24.15,22.96,6.89,14.79,68.8
barbouri,I,I2,Anolis,3,38.67,89.85,11.51,6.79,5.02,11.42,10.36,8.64,1.06,1.72,18.86,6.57,6.36,10.12,8.82,5.27,5.78,29.99,7.22,5.04,2.19,2.81,17.26
barkeri,M,M2a,Norops,4,86.85,117.73,20.54,12.6,9.29,21.28,19.6,16.57,1.68,3.03,44.63,12.83,12.21,20.2,18.42,10.93,13.85,63.4,15.79,12.93,4.59,9.42,42.72
bartschi,I,I2,Anolis,3,73,139.23,21.89,11.84,9.43,23.06,20.82,17.03,2.24,3.79,34.12,10.93,12.36,20.3,19.85,11.63,11.06,62.84,14.46,12.87,3.55,6.5,37.37
beckeri,M,M2a,Norops,2,55.94,73.06,15.54,8.73,6.52,15.33,14.22,11.79,1.11,2.43,27.65,7.81,10.66,10.23,10,6.15,6.8,33.16,9.5,7.36,3.18,4.36,24.4
biporcatus,M,M2a,Norops,5,82.96,156.6,23.32,13.1,10.55,23.98,22.08,18.5,1.9,3.58,41.14,13.91,15.05,18.01,17.26,10.76,13.18,59.22,14.39,12,4.25,7.24,37.88
bitectus,M,NA,Norops,3,49.87,106.43,13.5,6.98,5.97,13.51,12.46,10.18,1.05,2.28,22.54,6.14,5.02,13.98,14.23,7.71,8.23,44.14,9.74,7.72,2.55,3.68,23.68
blanquillanus,I,I1,Dactyloa,3,80.45,121.29,20.6,12.62,9.97,22.92,20.47,16.52,2.45,3.95,38.52,12.84,15.84,18.13,18.11,12.06,10.53,58.83,15.88,12.49,4.83,5.94,39.14
boettgeri,M,M1,Dactyloa,1,46.28,111.44,13.65,6.75,5.57,13.42,12.11,10.32,1.31,1.79,21.89,5.14,6.29,9.61,10.68,6.91,6.55,33.75,9.29,6.54,2.2,3.82,21.85
bombiceps,M,M2a,Norops,2,60.99,115.48,15.84,9.39,7.19,15.7,14.11,11.48,1.59,2.63,27.18,6.46,9.04,18.71,18.75,10.57,10.59,58.61,12.9,10.74,3.13,5.71,32.47
bonairensis,I,I1,Dactyloa,16,56.44,98.58,15.52,8.38,6.41,16.31,14.9,12.48,1.41,2.42,27.31,8.04,9.45,11.7,12.32,8.01,8.28,40.31,10.34,8.94,3.19,4.67,27.14
breedlovei,M,NA,Norops,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
brevirostris,I,NA,Anolis,59,45.88,58.61,13.84,8.22,6,13.38,12.71,10.56,0.68,2.14,NA,NA,NA,11.15,11.52,5.37,7.99,36.03,7.84,7.83,1.86,5.53,23.06
brunneus,I,I2,Anolis,45,64,114.34,20.07,9.5,6.84,21.77,19.75,16.56,2.02,3.19,NA,NA,NA,12.44,12.24,6.24,8.27,39.19,8.58,7.79,1.94,5.11,23.42
calimae,M,M1,Dactyloa,1,55.69,63.87,17.15,8.34,7.58,16.65,15.42,13.2,1.23,2.22,24.51,6.96,8.34,10.84,10.58,6.99,6.84,35.25,9.69,6.65,2.9,3.96,23.2
capito,M,M2a,Norops,7,83.27,154.9,21.48,13.91,10.7,21.91,20.37,16.97,1.54,3.4,40.63,12.5,13.68,23.14,24.89,14.24,15.29,77.56,16.15,13.95,4.93,8.12,43.15
caquetae,M,M1,Dactyloa,1,55.31,110.41,16.24,8.12,7.11,17.13,15.5,13.02,1.63,2.48,24.63,7.7,7.22,12.94,13.05,8.57,7.61,42.17,10.42,7.79,3.48,3.9,25.59
carolinensis,M,NA,Anolis,141,63.04,106,18.91,10.03,7.07,20.09,18.34,15.23,1.76,3.1,NA,NA,NA,12.03,11.79,7.21,8,38.7,10.45,7.25,2.92,4.63,25.25
carpenteri,M,M2b,Norops,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
centralis,I,I2,Anolis,3,40.58,61.17,12.59,6.92,5.49,12.37,11.12,9.11,1.25,2.01,17.88,6.12,5.97,7.51,7.73,4.86,5.65,25.75,7.82,5.69,2.46,3.3,19.28
chamaeleonides,I,I2,Anolis,3,127.45,138.26,49.53,22.99,18.43,42.6,39.6,32.73,2.99,6.88,58.99,22.5,18.57,22.13,19.44,12.63,12.62,66.82,22.61,16.3,6.63,8.28,53.83
charlesmyeri,M,M2a,Norops,1,58.69,74.86,15.62,9.43,6.95,15.99,14.69,12.07,1.3,2.62,24.89,7.7,9.73,9.27,10.16,6.57,4.4,30.4,10.67,6.68,2.75,3.75,23.85
chloris,M,M1,Dactyloa,4,59.41,101.36,16.42,8.65,6.82,16.54,15.36,12.94,1.18,2.42,29.98,8.1,9.5,13.15,13.77,8.68,11.22,46.81,12.01,10.6,4.1,6.07,32.77
chocorum,M,M1,Dactyloa,2,75.18,172.15,20.95,11.7,9.55,21.56,19.4,16.53,2.16,2.88,34.25,10.32,12.15,18.79,18.86,10.68,9.3,57.63,15.07,11.23,3.6,4.6,34.49
christophei,I,I2,Anolis,3,49.58,87.35,14.55,7.87,5.78,14.83,13.68,11.17,1.14,2.52,23.81,5.48,6.5,11.76,12.31,7.71,8.59,40.36,10.24,8.55,3.09,4.45,26.34
chrysolepis,M,M2a,Norops,3,59.41,118.61,15.59,9.82,7.67,15.62,14.46,12.05,1.16,2.41,27.52,7.6,9.03,18.25,18.52,10.72,10.02,57.51,13.01,10.2,3.1,4.8,31.11
cobanensis,M,M2a,Norops,1,44.65,NA,13.85,8.09,6.82,13.93,12.67,10.7,1.26,1.97,19.57,7.31,7.26,13.78,13.89,8.54,8.04,44.25,9.52,8.15,2.21,5.24,25.12
coelestinus,I,I2,Anolis,62,63.52,124.13,19.49,10.51,8.07,19.71,18.62,15.41,1.09,3.21,NA,NA,NA,13.35,13.49,6.82,11.01,44.67,9.37,8.76,2.32,6.48,26.93
compressicauda,M,M2a,Norops,11,55.22,78.67,15.47,8.81,6.96,16.18,14.65,12.35,1.54,2.3,25.78,9.5,9,13.69,15.01,9.22,10.34,48.26,10.06,8.52,3.13,5.96,27.67
concolor,I,NA,Norops,17,71.97,113.69,19.01,10.42,8.36,19.81,18.48,15.29,1.33,3.19,33.3,10.4,10.52,15.95,17.28,10.36,10.71,54.31,12.57,11.47,3.83,5.48,33.35
conspersus,I,I2,Norops,8,67.87,91.76,18.91,10.77,8.37,19.99,18.37,14.69,1.62,3.68,31.68,10.41,11.16,14.03,15.25,9.37,11.83,50.48,11.95,10.61,3.65,6.77,32.98
crassulus,M,M2a,Norops,3,43.89,85.22,13.55,8.33,6.63,14.05,12.72,10.7,1.33,2.02,19.18,7.19,7.14,10.44,10.45,6.44,6.72,34.04,8.59,6.58,2.66,3.55,21.38
cristatellus,I,I2,Anolis,25,66.3,99.46,19.56,10.48,7.94,19.15,18.06,14.81,1.18,3.26,32.6,7.91,7.53,17.47,16.93,7.04,13.18,54.09,11.99,11.26,2.81,8.26,33.99
cryptolimifrons,M,M2b,Norops,3,41.25,76.63,11.88,6.05,4.96,11.69,10.79,9.15,0.89,1.65,19.58,5.36,5.52,10.71,11.98,6.76,6.7,36.14,7.76,6.37,2.23,3.2,19.55
cupreus,M,M2b,Norops,15,45.01,78.66,12.28,6.79,5.43,12.27,11.25,9.41,1.01,1.85,21.07,6.02,6.52,10.45,11.07,6.52,7.23,35.27,7.97,6.99,2.47,3.85,21.27
cuprinus,M,M2a,Norops,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
cybotes,I,I2,Anolis,45,62.22,101.47,21.67,13.04,10.61,21.48,20.01,16.53,1.48,3.48,NA,NA,NA,16.65,17.01,8.72,11.75,54.14,10.98,10.89,3.01,6.86,31.74
damulus,M,NA,Norops,1,42.05,60.01,13.71,7.12,5.66,13.88,12.86,10.56,1.02,2.3,19.35,5.9,7.93,12.39,12.61,6.9,7.21,39.11,8.69,5.98,2.2,3.27,20.14
danieli,M,M1,Dactyloa,1,94.06,309,NA,NA,NA,NA,NA,NA,NA,NA,47.97,16.25,19.16,25.06,23.77,15.29,17.64,81.76,21.77,15.17,6.18,8.59,51.71
dariense,M,NA,Norops,1,33.4,59.57,10.6,5.73,4.45,10.15,9.27,7.65,0.88,1.62,15.3,4.5,3.8,8.95,9.44,5.65,5.45,29.49,6.26,5.48,2.04,2.36,16.14
darlingtoni,I,I2,Anolis,1,73.98,87.66,24.56,11.22,9.69,24.74,23.15,19.18,1.59,3.97,32.59,9.96,10.48,14.26,12.32,7.49,8.58,42.65,12.02,9.19,3.69,4.86,29.76
dissimilis,M,M1,Dactyloa,1,57.84,112.12,18.33,7.4,7.34,21.1,18.94,15.21,2.16,3.73,22.53,8.2,7.42,9.86,8.3,4.93,6.37,29.46,8.66,6.33,2.03,3.75,20.77
distichus,I,I2,Anolis,62,47.71,56.73,13.67,8.95,6.33,13.96,12.96,11.14,0.99,1.82,NA,NA,NA,11.94,11.79,5.9,7.62,37.25,8.92,8.04,2.26,5.22,24.44
dolichocephalus,I,I2,Anolis,3,47.76,125.09,16.54,6.59,5.51,16.88,15.69,13.46,1.19,2.23,20.06,6.27,5.68,10.98,12.1,7.54,7.62,38.24,7.62,5.65,2.41,3.23,18.91
dollfusianus,M,M2b,Norops,1,38.75,63.44,11.68,6.47,5.09,11.58,10.8,9.16,0.78,1.64,17.19,5.01,6.09,10.48,10.32,6.24,6.72,33.76,7.67,5.04,2.3,2.79,17.8
duellmani,M,M2a,Norops,3,38.43,58.39,11.05,6.19,4.86,11.23,10.54,8.84,0.69,1.7,17.54,5.99,6.47,9.4,9.77,5.93,7.29,32.39,6.94,5.85,2.15,4.24,19.19
dunni,M,M2a,Norops,3,53.58,103.32,14.69,8.45,6.84,14.9,13.61,11.04,1.29,2.57,25.97,7.74,9.29,12.71,12.29,7.79,7.83,40.62,9.96,8.13,3.05,3.72,24.87
eladioi,I,NA,Anolis,1,28.11,NA,10.57,5.12,3.78,10.05,9.02,7.93,1.03,1.09,12.53,3.89,5.26,5.44,5.28,3.9,3.37,17.99,5.25,3.8,1.63,2.16,12.84
elcopeensis,M,NA,,5,39.7,50.97,10.98,5.6,4.12,10.56,10.02,8.52,0.54,1.5,19.95,4.75,5.24,7.9,8.2,4.59,6.11,26.8,6.34,5.32,1.86,3.81,17.34
etheridgei,I,I2,Anolis,3,43.05,102.12,12.97,7.25,6.17,13.23,12.02,9.95,1.2,2.08,19.77,5.5,5.67,12.74,12.73,7.52,8.49,41.48,7.84,6.65,2.83,3.96,21.28
eulaemus,m,M1,Dactyloa,1,100.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,48.74,10.47,9.5,24.69,25.27,15.52,17.02,82.5,20.96,16.29,6.03,8.55,51.83
evermanni,I,I2,Anolis,21,60.5,96.86,17.62,8.67,6.05,17.45,16.18,13.36,1.27,2.82,29.45,5.45,6.1,14.81,14.46,5.88,11.89,47.04,10.47,9.86,2.12,7.73,30.17
fasciatus,M,M1,Dactyloa,3,68.79,151.64,16.78,8.8,6.8,16.52,15.18,12.83,1.34,2.35,35.69,7.21,9.69,17.04,17.17,10.29,10.34,54.83,13.76,10.95,3.93,4.79,33.43
ferreus,I,I2,Anolis,4,87.64,129.41,28.94,16.8,13.67,29.79,26.94,21.78,2.85,5.17,37.92,16.24,12.68,21.36,21.35,12.8,13.52,69.03,18.01,13.84,5.34,7.65,44.84
festae,M,M1,Dactyloa,5,49.44,102.82,14.3,6.74,5.11,14.14,13.17,11.15,0.97,2.02,23.75,5.81,7.01,9.83,10.24,6.56,7.96,34.59,8.48,6.94,2.96,4.9,23.28
fitchi,M,M1,Dactyloa,7,77.96,183.22,20.88,10.68,8.93,20.57,18.88,15.94,1.69,2.94,37.65,10.99,10.24,20.75,20.82,13.31,15.69,70.56,16.61,13.26,4.4,8.7,42.97
fowleri,I,I2,Anolis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
fraseri,M,M1,Dactyloa,7,106.75,240.42,29,15.91,13.6,30.35,27.82,22.61,2.53,5.21,53.33,17.16,17.53,21.94,20.99,12.76,15.25,70.95,18.63,14.69,5.9,8.54,47.76
frenatus,M,M1,Dactyloa,5,124.3,249.68,31.11,17.84,14.45,32.23,29.61,24.41,2.62,5.2,63.24,18.23,15.71,31.95,33.06,19.35,20.7,105.05,26.46,21.23,7.07,11.33,66.08
fuscoauratus,M,M2b,Norops,3,39.96,73.98,11.3,5.88,4.94,11.11,10.19,8.39,0.92,1.8,18.56,4.82,6.14,10.12,9.94,5.66,6.3,32.02,7.45,5.72,2.24,2.99,18.39
gadovii,M,M2a,Norops,2,64.34,124.07,17.27,9.59,8.29,18.48,17.02,13.72,1.46,3.3,29.38,8.71,9.32,17.99,16.49,10.05,10.28,54.8,14.26,10.93,3.51,5.45,34.14
gaigei,M,M2b,Norops,3,49.21,98.22,14.07,7.44,5.94,14.36,13.11,10.66,1.26,2.45,23.03,6.27,6.09,13.83,13.71,8.68,7.93,44.15,9.9,8.05,2.93,4.05,24.93
garmani,I,I2,Norops,2,105,173.67,30,16.01,12.78,29.47,28.26,23.64,1.22,4.62,47.12,13.66,15.34,24.57,23.14,8.22,17.96,73.87,17.39,16.09,3.43,11.48,48.38
gemmosus,M,M1,Dactyloa,17,59.21,148.72,15.85,8.3,6.92,15.61,14.7,12.31,0.92,2.39,29.67,8.07,8.8,14.43,14.5,9.24,12.95,51.11,10.77,9.04,3.22,6.6,29.63
gorgonae,I,NA,Dactyloa,4,57.48,110.37,14.52,7.77,5.97,15.01,14.08,11.78,0.93,2.31,29.57,7,8.31,13.57,14.67,7.9,10.37,46.52,11.33,10.56,3.85,6.2,31.93
gracilipes,M,M2a,Norops,5,50.69,102.58,13.66,7.29,5.82,13.5,12.3,10.34,1.2,1.96,24.97,5.91,6.25,14.3,14.46,8.17,9.56,46.49,10.1,7.98,3,4.62,25.69
grahami,I,I2,Norops,9,61.51,99.41,18.79,9.8,7.08,18.85,17.71,14.77,1.13,2.94,29.23,6.97,7.98,14.23,13.84,4.86,10.51,43.43,10.26,9.63,2.27,7.07,29.24
granuliceps,M,M2b,Norops,3,40.03,71.43,11.07,6.1,4.98,11.2,10.24,8.44,0.96,1.8,18.7,4.65,5.67,11.92,12.32,7.29,6.54,38.07,7.69,6.02,2.14,3.37,19.21
griseus,I,I1,Dactyloa,3,105.56,253,28.77,17.88,14.42,31.86,28.83,22.94,3.03,5.89,48.14,16.33,17.42,25.17,27.1,16.1,16.48,84.85,22.17,16.48,6.35,7.21,52.21
gundlachi,I,I2,Anolis,45,66.27,99.85,20.65,10.41,8.31,20.17,18.91,15.54,1.26,3.38,31.44,7.24,6.43,17.78,17.66,7.69,13.48,56.61,11.53,11.19,2.61,8.36,33.68
haguei,M,NA,Norops,1,49.72,105,15.61,9,6.8,15.79,14.45,11.74,1.34,2.71,25.11,7.13,10.4,11.83,11.15,7.58,9.1,39.66,9.6,7.63,3.74,4.34,25.31
hendersoni,I,I2,Anolis,3,47.05,114.11,15.87,6.21,5.4,16.63,14.66,12.55,1.98,2.11,21.68,5.42,5.97,11.11,11.94,7.39,7.43,37.87,8.25,5.71,2.17,3.29,19.41
heterodermus,M,M1,Dactyloa,6,71.34,105.89,20.97,10.56,9.3,20.4,18.94,15.36,1.46,3.58,36.04,12.49,13.44,12.14,10.83,6.39,8.68,38.04,10.78,9.44,3.76,6.48,30.46
heteropholidotus,M,M2a,Norops,1,47.98,83.74,NA,NA,NA,NA,NA,NA,NA,NA,21.11,6.69,6.77,12.34,12.45,7.76,9.12,41.67,9.54,6.28,2.94,4.02,22.78
hobartsmithi,M,M2a,Norops,1,52.15,NA,15.73,8.75,7.67,15.73,14.3,11.88,1.43,2.42,27.24,6.99,9.76,12.95,14.05,8.55,9.21,44.76,9.54,7.42,3.09,4.32,24.37
huilae,M,M1,Dactyloa,4,72.38,162.11,19.23,9.62,7.82,19.43,17.71,14.58,1.72,3.13,32.9,8.46,10.45,16.15,15.71,10.64,10.54,53.03,12.25,9.84,4.17,5.18,31.43
humilis,M,M2b,Norops,30,32.73,45.49,9.99,5.54,4.27,9.83,9.1,7.72,0.72,1.39,15.53,5.44,5.38,8,8.96,5.41,6.19,28.56,5.71,5.22,1.92,3.35,16.2
ibanezi,M,M1,Dactyloa,1,78.78,188.47,20.57,10.98,9.91,21.07,19.58,16.04,1.49,3.54,40.69,10.23,12.11,22.04,20.86,12.21,10.9,66.01,15.44,13.28,3.96,5.35,38.03
insignis,M,M1,Dactyloa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
intermedius,M,NA,Norops,6,44.91,73.51,13.04,7.59,5.86,12.97,11.92,9.86,1.05,2.06,20.85,6.17,6.28,9.43,9.05,5.65,5.88,30,7.8,5.93,2.45,3.33,19.52
isthmicus,M,NA,Norops,4,43.22,87.78,12.61,7.33,5.84,12.76,11.59,9.55,1.17,2.05,19.59,6.29,7.53,11.66,11.84,7.29,6.66,37.45,8.5,6.76,2.5,3.4,21.15
jacare,M,M1,Dactyloa,2,73.62,155.45,20.62,10.81,9.27,21.41,19.54,16.62,1.87,2.92,36.81,8.75,10.15,15.44,15.42,9.57,9.94,50.36,13.87,10.48,4.05,5.44,33.83
kemptoni,M,M2b,Norops,4,51.2,108.7,14.17,6.92,5.99,13.93,12.9,11.03,1.03,1.87,25.04,6.04,5.56,10.61,10.48,6.27,6.89,34.25,8.15,5.22,2.45,3.84,19.65
koopmani,I,I2,Anolis,3,39.46,83.37,12.5,5.69,5.1,12.86,11.73,9.66,1.13,2.08,17.92,5.5,5.5,9.65,9.94,5.97,6.44,31.99,6.36,5.01,2.01,2.73,16.1
krugi,I,I2,Anolis,28,51.74,124.33,15.89,7.47,6.18,15.57,14.46,11.79,1.11,2.67,24.44,4.79,4.02,12.83,12.94,5.05,10.08,40.9,8.06,7.43,1.83,5.99,23.32
kunayalae,M,M1,Dactyloa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
laeviventris,M,M2a,Norops,3,36.66,64.57,11.4,6.49,4.74,11.19,10.28,8.38,0.91,1.9,16.5,4.53,6.76,7.7,7.7,4.87,5.32,25.59,6.44,4.82,2.07,2.54,15.87
landestoyi,I,NA,Anolis,3,126.55,159.81,38.07,18.87,17.18,38.3,35.18,28.63,3.12,6.55,60.34,18.86,18.13,25.29,23,13.9,13.89,76.08,23.7,17.65,5.68,8.86,55.89
latifrons,M,M1,Dactyloa,3,123.08,268.5,33.8,19.44,15.66,35.64,32.6,27.67,3.03,4.93,58.32,18.49,15.85,33,33.55,20.89,19.04,106.48,26.34,20.43,6.9,8.98,62.65
leachii,I,I2,Anolis,10,89.37,147.61,26.26,14.51,10.52,28.76,25.7,20.46,3.06,5.24,42.09,15.14,13.93,19.64,19.72,12.21,12.64,64.21,15.54,13.84,5.11,6.21,40.69
lemurinus,M,M2b,Norops,8,52.91,91.44,14.97,8.69,6.67,14.89,13.75,11.54,1.13,2.22,25.21,7.79,8.99,13.54,14.17,8.76,9.68,46.15,9.92,8.13,3.21,5.26,26.52
